Datum,count
Mon 17:18 UTC,1
Mon 17:20 UTC,1
Mon 17:24 UTC,1
Mon 17:30 UTC,2
Mon 17:38 UTC,1
Mon 17:40 UTC,1
Mon 17:41 UTC,1
Mon 17:43 UTC,2
Mon 17:45 UTC,1
Mon 17:52 UTC,2
Mon 18:00 UTC,1
Mon 18:01 UTC,1
Mon 18:02 UTC,1
Mon 18:06 UTC,1
Mon 18:09 UTC,1
Mon 18:10 UTC,1
Mon 18:11 UTC,1
Mon 18:13 UTC,1
Mon 18:14 UTC,2
Mon 18:23 UTC,1
Mon 18:28 UTC,2
Mon 18:29 UTC,1
Mon 18:30 UTC,3
Mon 18:34 UTC,1
Mon 18:45 UTC,1
Mon 18:47 UTC,1
Mon 18:50 UTC,1
Mon 18:51 UTC,1
Mon 19:00 UTC,2
Mon 19:06 UTC,1
Mon 19:12 UTC,1
Mon 19:23 UTC,3
Mon 19:26 UTC,1
Mon 19:28 UTC,1
Mon 19:33 UTC,1
Mon 19:34 UTC,1
Mon 19:38 UTC,1
Mon 19:44 UTC,1
Mon 19:45 UTC,1
Mon 19:49 UTC,1
Mon 19:50 UTC,1
Mon 19:55 UTC,1
Mon 19:59 UTC,2
Mon 20:03 UTC,1
Mon 20:10 UTC,1
Mon 20:12 UTC,1
Mon 20:16 UTC,1
Mon 20:20 UTC,1
Mon 20:30 UTC,1
Mon 20:31 UTC,1
Mon 20:36 UTC,1
Mon 20:37 UTC,1
Mon 20:39 UTC,1
Mon 20:43 UTC,1
Mon 20:44 UTC,1
Mon 20:50 UTC,2
Mon 21:00 UTC,2
Mon 21:02 UTC,1
Mon 21:08 UTC,1
Mon 21:09 UTC,1
Mon 21:15 UTC,1
Mon 21:18 UTC,1
Mon 21:30 UTC,1
Mon 21:32 UTC,2
Mon 21:37 UTC,2
Mon 21:39 UTC,1
Mon 21:40 UTC,1
Mon 21:43 UTC,1
Mon 21:47 UTC,2
Mon 21:51 UTC,1
Mon 21:52 UTC,1
Mon 21:56 UTC,1
Mon 21:58 UTC,2
Mon 21:59 UTC,1
Mon 22:01 UTC,1
Mon 22:03 UTC,1
Mon 22:04 UTC,2
Mon 22:05 UTC,2
Mon 22:06 UTC,2
Mon 22:09 UTC,1
Mon 22:19 UTC,1
Mon 22:20 UTC,2
Mon 22:22 UTC,1
Mon 22:23 UTC,1
Mon 22:24 UTC,1
Mon 22:26 UTC,1
Mon 22:28 UTC,1
Mon 22:29 UTC,2
Mon 22:30 UTC,1
Mon 22:35 UTC,2
Mon 22:37 UTC,1
Mon 22:40 UTC,1
Mon 22:48 UTC,1
Mon 22:50 UTC,1
Mon 22:51 UTC,1
Mon 22:52 UTC,1
Mon 22:58 UTC,1
Mon 23:00 UTC,1
Mon 23:01 UTC,1
Mon 23:03 UTC,1
Mon 23:04 UTC,1
Mon 23:05 UTC,1
Mon 23:21 UTC,1
Mon 23:28 UTC,1
Mon 23:29 UTC,1
Mon 23:30 UTC,1
Mon 23:32 UTC,1
Mon 23:34 UTC,1
Mon 23:40 UTC,2
Mon 23:41 UTC,1
Mon 23:45 UTC,1
Mon 23:46 UTC,1
Mon 23:48 UTC,1
Mon 23:50 UTC,1
Mon 23:52 UTC,1
"Mon Apr 03, 1967",1
"Mon Aug 12, 1974",1
"Mon Aug 25, 1958",1
"Mon Aug 25, 2003",1
"Mon Dec 22, 1975",1
"Mon Dec 26, 1994",1
"Mon Dec 27, 1971",1
"Mon Feb 02, 2009",1
"Mon Feb 02, 2015",1
"Mon Feb 21, 1966",1
"Mon Jun 26, 1967",1
"Mon Nov 23, 2015",1
"Mon Oct 30, 1978",1
"Mon Sep 06, 2004",1
"Mon Sep 19, 1988",1
"Mon Sep 21, 1981",1
"Mon Sep 22, 1969",1
"Mon Sep 26, 1966",1
Sat 00:00 UTC,1
Sat 00:02 UTC,1
Sat 00:03 UTC,1
Sat 00:09 UTC,1
Sat 00:11 UTC,1
Sat 00:15 UTC,1
Sat 00:21 UTC,1
Sat 00:24 UTC,1
Sat 00:26 UTC,1
Sat 00:27 UTC,1
Sat 00:28 UTC,1
Sat 00:30 UTC,3
Sat 00:31 UTC,2
Sat 00:32 UTC,2
Sat 00:42 UTC,1
Sat 00:46 UTC,1
Sat 00:47 UTC,1
Sat 00:48 UTC,1
Sat 00:50 UTC,1
Sat 00:51 UTC,1
Sat 00:53 UTC,1
Sat 00:55 UTC,2
Sat 00:56 UTC,1
Sat 01:03 UTC,1
